id	file
breast_normal_18	TCGA-BRCA.c6914b68-40d4-4f98-ae22-92a713b29df3.gene_level_copy_number.tsv
breast_normal_19	TCGA-BRCA.7bed3841-5a16-43fc-8b2b-4e0aa0b89f1e.gene_level_copy_number.tsv
breast_normal_20	TCGA-BRCA.9817a432-9c60-42d5-928e-531e3fd480dd.gene_level_copy_number.tsv
breast_normal_21	TCGA-BRCA.ee9ecf8c-e528-40b6-a196-eb1f2689a397.gene_level_copy_number.tsv
breast_normal_22	TCGA-BRCA.684a637d-c0a0-471a-86d0-1e19aff9f17e.gene_level_copy_number.tsv
breast_normal_23	TCGA-BRCA.df947eb4-659d-46a6-95e1-fcc0d471a17c.gene_level_copy_number.tsv
breast_normal_24	TCGA-BRCA.9c593bef-cf0b-42a4-9cb1-02d9d13b16dd.gene_level_copy_number.tsv
breast_normal_25	TCGA-BRCA.1427907e-73c9-42c0-ab7b-64cd9b64d874.gene_level_copy_number.tsv
breast_normal_26	TCGA-BRCA.cc9ee06d-27bf-4038-bbcd-c95693b96321.gene_level_copy_number.tsv
breast_normal_27	TCGA-BRCA.3aa8422d-7f10-4aba-b6c6-80975f4850c5.gene_level_copy_number.tsv
breast_normal_28	TCGA-BRCA.579b5e2f-f3c6-48b6-8769-4950ac5c6abb.gene_level_copy_number.tsv
breast_normal_29	TCGA-BRCA.40aac58d-9d3d-4cc3-ab4b-c02b28b8fc5f.gene_level_copy_number.tsv
breast_normal_30	TCGA-BRCA.037b8a48-b345-4971-9226-dc9199a29d82.gene_level_copy_number.tsv
breast_normal_31	TCGA-BRCA.59d70e3c-da53-46e9-9f46-177223c25d95.gene_level_copy_number.tsv
breast_normal_32	TCGA-BRCA.7a83fa45-d75d-40c9-a35a-2f6b5e1e70ee.gene_level_copy_number.tsv
breast_normal_33	TCGA-BRCA.8e5ce7fa-08f9-4610-bb85-dd59c335ebbd.gene_level_copy_number.tsv
breast_normal_34	TCGA-BRCA.16ab0981-23d8-4602-ac15-898caa502ff4.gene_level_copy_number.tsv
breast_normal_35	TCGA-BRCA.8dedb075-afa7-4699-b486-178cdaba1e9e.gene_level_copy_number.tsv
breast_normal_36	TCGA-BRCA.01428281-1653-4839-b5cf-167bc62eb147.gene_level_copy_number.tsv
