id	filename	md5	size	state
2296555d-7cfd-4b8b-8c49-ec8ec6f08d52	TCGA-OV.2ea95bbb-00cd-491e-814e-25360d715683.gene_level_copy_number.tsv	b8cd8024c663c8a4025712a971221197	3482433	released
8584e480-ff4b-4434-b253-1b2b71b1a385	TCGA-OV.c7485ff7-5733-441c-8496-c28f0056e5b3.gene_level_copy_number.tsv	e1ac277540025e0a93c884a29b54fc6b	3482104	released
7b237f7a-8cd5-4cc9-b339-ecbd3717c86e	TCGA-OV.9f90944b-ee3c-4f43-93b1-e2bf5829a325.gene_level_copy_number.tsv	8e05c0575a22556205d0d6ba89f62739	3483783	released
40648588-21ab-4fe1-a553-a050d4bfe029	TCGA-OV.1f1208d3-3643-4854-96c4-987e0d1068fd.gene_level_copy_number.tsv	e90ccbe67006ac500f655cca452243fe	3482245	released
6f10f705-1e21-4970-ae85-80b0b7f7780b	TCGA-OV.bf96a59e-7403-42f6-99b2-e56a1010cdc7.gene_level_copy_number.tsv	9cc7fd7def0d53534f079377b12b7bde	3483721	released
0076ae82-0296-4d92-a226-b92730d09e1a	TCGA-OV.a1704a37-9809-4d75-97f0-97ecb2e298c6.gene_level_copy_number.tsv	577cb350f1b2add84cae667e42675d35	3482266	released
acbabded-2c5c-4c39-b6c0-d9eb0cc93076	TCGA-OV.a3747731-86b6-4f6d-8044-d677000432cd.gene_level_copy_number.tsv	f2895241ee654ad0769ef43aab81880f	3482266	released
94ddd6b1-7282-48a4-9344-27f7cf483f57	TCGA-OV.53d6550d-4d80-4e28-accb-fd3a46abcdd5.gene_level_copy_number.tsv	bdeff27e6f6db44b3b4aa6df82b5a408	3482101	released
aa9eeb2a-c79e-440a-8f74-1c864031707b	TCGA-OV.4f64fc1e-d250-4438-bd6d-c1c4b8f50033.gene_level_copy_number.tsv	0623f1cf381cda067682d6bb9a4a9903	3483196	released
dcce866e-da44-4a8e-a8bb-220119cd640b	TCGA-OV.eb5ed8b0-d282-45c0-b673-c2822ddff885.gene_level_copy_number.tsv	c8e31c1e15d0b7b8b653b3d94043b731	3487663	released
898c5f1b-c465-4c27-9142-5d289f551402	TCGA-OV.b2a05747-aa38-4968-8fb8-1f27a40a4181.gene_level_copy_number.tsv	c4ab53192e0e4a5503ab4954a738d45e	3483421	released
6b146334-ab4b-4525-b239-70d055175c60	TCGA-OV.00014f01-24a5-4226-9ed6-4b9cabacd074.gene_level_copy_number.tsv	912814e78f54917d2f2649d64c49fbcd	3483725	released
55b6eda6-b9f1-41e3-a59e-7e2f0d9bb618	TCGA-OV.b3877e46-6cd0-4123-9909-2698a8f627ce.gene_level_copy_number.tsv	685277781a9394f26ea98ea735e85b79	3482254	released
34a9fe38-2e70-45ad-9b3c-9d741fd82935	TCGA-OV.a8f002eb-8a8f-4d7f-a93e-5b7b6fdeb975.gene_level_copy_number.tsv	d984177ac517cc962f719b23dc3034c4	3482257	released
8b09f684-ccb1-4661-8659-6cc5000a27ec	TCGA-OV.afd657cb-1c27-4a3c-a8a6-9f5ccd3bb3d7.gene_level_copy_number.tsv	c6913b960afbd6eb115b22b7575a7f3e	3482182	released
e3852906-eadf-4232-9839-e738fe24a1f6	TCGA-OV.99d32dd3-0594-46be-96ba-6a981950aa0f.gene_level_copy_number.tsv	240b9880929d148a01988bc432a00cf0	3483970	released
b1015187-4293-48fd-b60d-720538a388e5	TCGA-OV.bd52755a-499d-40c7-9f23-7aec08e3e558.gene_level_copy_number.tsv	7da1cfb064cb818d8202c0c0f72db71b	3482136	released
